Section,Version,Score,Percentage,Grade
AB,B,36,70.59,C
AB,F,40,78.43,C
AB,A,37,72.55,C
AB,E,32,62.75,D
AB,B,34,66.67,D
AB,C,41,80.39,B
AB,A,25,49.02,F
AB,D,31.5,61.76,D
AB,D,39.5,77.45,C
AB,B,35.5,69.61,D
AB,F,38.5,75.49,C
AB,D,37,72.55,C
AB,C,40,78.43,C
AB,A,42,82.35,B
AB,A,44.5,87.25,B
AB,E,49,96.08,A
AB,E,46,90.2,A
AB,B,40,78.43,C
AB,E,0,0,F
AB,F,43.5,85.29,B
AB,D,41.5,81.37,B
AB,C,40.5,79.41,C
AB,F,32,62.75,D
CD,E,49,96.08,A
CD,C,29,56.86,F
CD,E,26,50.98,F
CD,A,46,90.2,A
CD,F,32,62.75,D
CD,C,26,50.98,F
CD,F,44.5,87.25,B
CD,A,41.25,80.88,B
CD,A,0,0,F
CD,A,40.5,79.41,C
CD,B,41,80.39,B
CD,F,38,74.51,C
CD,B,46,90.2,A
CD,A,41,80.39,B
CD,E,28,54.9,F
CD,D,37,72.55,C
CD,F,43,84.31,B
CD,C,32.5,63.73,D
CD,B,44,86.27,B
CD,D,47,92.16,A
CD,D,39,76.47,C
CD,C,30,58.82,F
CD,E,40,78.43,C
CD,B,35,68.63,D
KL,A,22.5,44.12,F
KL,A,41.5,81.37,B
KL,A,31,60.78,D
KL,A,20.5,40.2,F
KL,A,46,90.2,A
KL,B,42.5,83.33,B
KL,B,33,64.71,D
KL,B,33,64.71,D
KL,B,41,80.39,B
KL,B,44,86.27,B
KL,C,41.5,81.37,B
KL,C,39.5,77.45,C
KL,C,42.5,83.33,B
KL,C,35,68.63,D
KL,D,38.5,75.49,C
KL,D,31.5,61.76,D
KL,D,35.5,69.61,D
KL,D,44,86.27,B
KL,E,37.5,73.53,C
KL,E,38.5,75.49,C
KL,E,47,92.16,A
KL,E,42.5,83.33,B
KL,F,21.5,42.16,F
KL,F,42.5,83.33,B
KL,F,42.5,83.33,B
KL4,A,46.5,91.18,A
KL4,A,46.5,91.18,A
KL4,A,39,76.47,C
KL4,A,37,72.55,C
KL4,B,44.5,87.25,B
KL4,B,41.5,81.37,B
KL4,B,42,82.35,B
KL4,B,43.5,85.29,B
KL4,C,45.5,89.22,B
KL4,C,0,0,F
KL4,C,48,94.12,A
KL4,C,40,78.43,C
KL4,D,45,88.24,B
KL4,D,34,66.67,D
KL4,D,35,68.63,D
KL4,D,44,86.27,B
KL4,E,46,90.2,A
KL4,E,49,96.08,A
KL4,E,22,43.14,F
KL4,E,41,80.39,B
KL4,F,41,80.39,B
KL4,F,45,88.24,B
KL4,F,43,84.31,B
KL4,F,44.5,87.25,B
KL3,A,47,92.16,A
KL3,A,44,86.27,B
KL3,A,41,80.39,B
KL3,A,39,76.47,C
KL3,B,37.5,73.53,C
KL3,B,40,78.43,C
KL3,B,42,82.35,B
KL3,B,41,80.39,B
KL3,C,0,0,F
KL3,C,35,68.63,D
KL3,C,40,78.43,C
KL3,D,50,98.04,A
KL3,D,45,88.24,B
KL3,D,38,74.51,C
KL3,E,28,54.9,F
KL3,E,21,41.18,F
KL3,E,36,70.59,C
KL3,F,44,86.27,B
KL3,F,31.5,61.76,D
KL3,F,41,80.39,B
KL2,F,47,92.16,A
KL2,B,39,76.47,C
KL2,B,35.5,69.61,D
KL2,D,32,62.75,D
KL2,C,49,96.08,A
KL2,E,48,94.12,A
KL2,A,46,90.2,A
KL2,C,36.5,71.57,C
KL2,C,38,74.51,C
KL2,D,36,70.59,C
KL2,A,32,62.75,D
KL2,F,32,62.75,D
KL2,E,41,80.39,B
KL2,B,25.5,50,F
KL2,F,43,84.31,B
KL2,F,46,90.2,A
KL2,B,34.5,67.65,D
KL2,C,41,80.39,B
KL2,D,31,60.78,D
KL2,D,45,88.24,B
